Epoch: 0001 train_loss= 2.6481  train_acc= 0.1378  val_loss= 2.6336  val_acc= 0.1408  time= 4.7232 
Epoch: 0002 train_loss= 2.4795  train_acc= 0.1955  val_loss= 2.5097  val_acc= 0.1690  time= 0.2425 
Epoch: 0003 train_loss= 2.3410  train_acc= 0.2708  val_loss= 2.4015  val_acc= 0.2817  time= 0.2822 
Epoch: 0004 train_loss= 2.2545  train_acc= 0.2772  val_loss= 2.3207  val_acc= 0.2254  time= 0.2553 
Epoch: 0005 train_loss= 2.1607  train_acc= 0.3349  val_loss= 2.2348  val_acc= 0.3239  time= 0.2577 
Epoch: 0006 train_loss= 2.0578  train_acc= 0.4327  val_loss= 2.1408  val_acc= 0.3944  time= 0.2455 
Epoch: 0007 train_loss= 2.0090  train_acc= 0.4487  val_loss= 2.0847  val_acc= 0.4366  time= 0.2602 
Epoch: 0008 train_loss= 1.9458  train_acc= 0.4872  val_loss= 2.0227  val_acc= 0.4507  time= 0.2321 
Epoch: 0009 train_loss= 1.9031  train_acc= 0.4712  val_loss= 1.9817  val_acc= 0.4085  time= 0.2704 
Epoch: 0010 train_loss= 1.8032  train_acc= 0.5337  val_loss= 1.8898  val_acc= 0.4648  time= 0.2358 
Epoch: 0011 train_loss= 1.7483  train_acc= 0.5385  val_loss= 1.8379  val_acc= 0.4930  time= 0.2272 
Epoch: 0012 train_loss= 1.6957  train_acc= 0.5785  val_loss= 1.7823  val_acc= 0.5211  time= 0.2321 
Epoch: 0013 train_loss= 1.6405  train_acc= 0.5962  val_loss= 1.7242  val_acc= 0.5352  time= 0.2614 
Epoch: 0014 train_loss= 1.5793  train_acc= 0.6170  val_loss= 1.6648  val_acc= 0.5493  time= 0.2701 
Epoch: 0015 train_loss= 1.5364  train_acc= 0.6394  val_loss= 1.6288  val_acc= 0.5493  time= 0.2380 
Epoch: 0016 train_loss= 1.4829  train_acc= 0.6474  val_loss= 1.5794  val_acc= 0.5493  time= 0.2543 
Epoch: 0017 train_loss= 1.4373  train_acc= 0.6779  val_loss= 1.5380  val_acc= 0.5775  time= 0.2305 
Epoch: 0018 train_loss= 1.3846  train_acc= 0.6875  val_loss= 1.4894  val_acc= 0.5634  time= 0.2356 
Epoch: 0019 train_loss= 1.3423  train_acc= 0.6923  val_loss= 1.4454  val_acc= 0.6056  time= 0.2963 
Epoch: 0020 train_loss= 1.3021  train_acc= 0.7147  val_loss= 1.4003  val_acc= 0.6197  time= 0.2502 
Epoch: 0021 train_loss= 1.2613  train_acc= 0.7163  val_loss= 1.3615  val_acc= 0.6056  time= 0.2946 
Epoch: 0022 train_loss= 1.2241  train_acc= 0.7356  val_loss= 1.3287  val_acc= 0.6056  time= 0.2801 
Epoch: 0023 train_loss= 1.1904  train_acc= 0.7179  val_loss= 1.2982  val_acc= 0.5915  time= 0.2361 
Epoch: 0024 train_loss= 1.1496  train_acc= 0.7324  val_loss= 1.2616  val_acc= 0.6197  time= 0.2397 
Epoch: 0025 train_loss= 1.1163  train_acc= 0.7628  val_loss= 1.2336  val_acc= 0.6479  time= 0.2852 
Epoch: 0026 train_loss= 1.0821  train_acc= 0.7804  val_loss= 1.2052  val_acc= 0.6479  time= 0.2516 
Epoch: 0027 train_loss= 1.0449  train_acc= 0.7756  val_loss= 1.1763  val_acc= 0.6901  time= 0.2311 
Epoch: 0028 train_loss= 1.0101  train_acc= 0.7821  val_loss= 1.1480  val_acc= 0.6620  time= 0.2937 
Epoch: 0029 train_loss= 0.9778  train_acc= 0.7869  val_loss= 1.1231  val_acc= 0.6479  time= 0.2534 
Epoch: 0030 train_loss= 0.9406  train_acc= 0.7869  val_loss= 1.0991  val_acc= 0.7042  time= 0.2867 
Epoch: 0031 train_loss= 0.9072  train_acc= 0.7981  val_loss= 1.0723  val_acc= 0.7324  time= 0.2307 
Epoch: 0032 train_loss= 0.8771  train_acc= 0.8013  val_loss= 1.0472  val_acc= 0.6761  time= 0.2502 
Epoch: 0033 train_loss= 0.8455  train_acc= 0.8173  val_loss= 1.0261  val_acc= 0.7465  time= 0.2696 
Epoch: 0034 train_loss= 0.8114  train_acc= 0.8285  val_loss= 0.9968  val_acc= 0.7465  time= 0.2243 
Epoch: 0035 train_loss= 0.7809  train_acc= 0.8397  val_loss= 0.9693  val_acc= 0.7606  time= 0.3036 
Epoch: 0036 train_loss= 0.7521  train_acc= 0.8365  val_loss= 0.9449  val_acc= 0.7465  time= 0.2699 
Epoch: 0037 train_loss= 0.7252  train_acc= 0.8429  val_loss= 0.9261  val_acc= 0.7606  time= 0.2488 
Epoch: 0038 train_loss= 0.6984  train_acc= 0.8510  val_loss= 0.9047  val_acc= 0.7606  time= 0.2520 
Epoch: 0039 train_loss= 0.6677  train_acc= 0.8542  val_loss= 0.8828  val_acc= 0.7606  time= 0.2783 
Epoch: 0040 train_loss= 0.6426  train_acc= 0.8702  val_loss= 0.8626  val_acc= 0.7465  time= 0.2959 
Epoch: 0041 train_loss= 0.6144  train_acc= 0.8782  val_loss= 0.8380  val_acc= 0.7465  time= 0.2471 
Epoch: 0042 train_loss= 0.5931  train_acc= 0.8910  val_loss= 0.8171  val_acc= 0.7465  time= 0.2258 
Epoch: 0043 train_loss= 0.5684  train_acc= 0.8910  val_loss= 0.7918  val_acc= 0.7606  time= 0.2664 
Epoch: 0044 train_loss= 0.5448  train_acc= 0.8942  val_loss= 0.7699  val_acc= 0.7606  time= 0.2921 
Epoch: 0045 train_loss= 0.5203  train_acc= 0.8974  val_loss= 0.7531  val_acc= 0.7746  time= 0.2375 
Epoch: 0046 train_loss= 0.4991  train_acc= 0.9038  val_loss= 0.7396  val_acc= 0.7606  time= 0.2706 
Epoch: 0047 train_loss= 0.4836  train_acc= 0.9071  val_loss= 0.7273  val_acc= 0.7746  time= 0.2565 
Epoch: 0048 train_loss= 0.4706  train_acc= 0.9087  val_loss= 0.7047  val_acc= 0.8028  time= 0.2448 
Epoch: 0049 train_loss= 0.4484  train_acc= 0.9215  val_loss= 0.6994  val_acc= 0.7606  time= 0.2641 
Epoch: 0050 train_loss= 0.4236  train_acc= 0.9263  val_loss= 0.6754  val_acc= 0.7887  time= 0.2806 
Epoch: 0051 train_loss= 0.4078  train_acc= 0.9295  val_loss= 0.6577  val_acc= 0.7887  time= 0.3107 
Epoch: 0052 train_loss= 0.3910  train_acc= 0.9295  val_loss= 0.6445  val_acc= 0.7887  time= 0.3003 
Epoch: 0053 train_loss= 0.3777  train_acc= 0.9279  val_loss= 0.6304  val_acc= 0.7887  time= 0.2663 
Epoch: 0054 train_loss= 0.3699  train_acc= 0.9359  val_loss= 0.6272  val_acc= 0.7887  time= 0.2822 
Epoch: 0055 train_loss= 0.3499  train_acc= 0.9487  val_loss= 0.5983  val_acc= 0.8169  time= 0.2999 
